VehicleId,Location,unload,load,emptyRuns
1,1,0,1,60
1,7,1,1,60
1,9,1,1,60
1,5,1,1,60
1,2,1,1,60
1,4,1,1,60
1,5,1,1,60
1,9,1,1,60
1,5,1,1,60
1,9,1,1,60
1,4,1,1,60
1,2,1,1,60
1,7,1,1,60
1,8,1,1,60
1,4,1,1,60
1,9,1,1,60
1,5,1,1,60
1,8,1,1,60
1,5,1,1,60
1,8,1,1,60
1,2,1,1,60
1,7,1,1,60
1,1,1,1,60
1,9,1,1,60
1,2,1,1,60
1,5,1,1,60
1,4,1,1,60
1,5,1,1,60
1,9,1,1,60
1,2,1,1,60
1,8,1,1,60
1,5,1,1,60
1,6,1,1,60
1,7,1,1,60
1,2,1,1,60
1,7,1,1,60
1,2,1,1,60
1,7,1,1,60
1,1,1,1,60
1,6,1,1,60
1,3,1,1,60
1,10,1,1,60
1,7,1,1,60
1,2,1,1,60
1,5,1,1,60
1,7,1,1,60
1,8,1,1,60
1,7,1,1,60
1,2,1,1,60
1,4,1,1,60
1,1,1,1,60
1,10,1,1,60
1,6,1,1,60
1,7,1,1,60
1,1,1,1,60
1,2,1,1,60
1,6,1,1,60
1,2,1,1,60
1,6,1,1,60
1,1,1,1,60
1,10,1,1,60
1,2,1,1,60
1,6,1,1,60
1,5,1,1,60
1,9,1,1,60
1,1,1,1,60
1,9,1,1,60
1,2,1,1,60
1,5,1,1,60
1,7,1,1,60
1,4,1,1,60
1,7,1,1,60
1,6,1,1,60
1,1,1,1,60
1,8,1,1,60
1,6,1,1,60
1,3,1,1,60
1,6,1,1,60
1,8,1,1,60
1,2,1,1,60
1,4,1,1,60
1,1,1,1,60
1,7,1,1,60
1,5,1,1,60
1,4,1,1,60
1,8,1,1,60
1,6,1,1,60
1,10,1,1,60
1,2,1,1,60
1,4,1,1,60
1,3,1,1,60
1,2,1,1,60
1,6,1,1,60
1,1,1,1,60
1,5,1,1,60
1,4,1,1,60
1,3,1,1,60
1,10,1,1,60
1,7,1,1,60
1,1,1,1,60
1,2,1,1,60
1,1,1,1,60
1,8,1,1,60
1,5,1,1,60
1,2,1,1,60
1,8,1,1,60
1,4,1,1,60
1,1,1,1,60
1,5,1,1,60
1,7,1,1,60
1,9,1,1,60
1,2,1,1,60
1,1,1,1,60
1,2,1,1,60
1,4,1,1,60
1,10,1,1,60
1,7,1,1,60
1,9,1,1,60
1,1,1,1,60
1,2,1,1,60
1,1,1,1,60
1,5,1,1,60
1,3,1,1,60
1,2,1,1,60
1,7,1,1,60
1,9,1,1,60
1,8,1,1,60
1,5,1,1,60
1,7,1,1,60
1,9,1,1,60
1,2,1,1,60
1,4,1,1,60
1,9,1,1,60
1,4,1,1,60
1,3,1,1,60
1,7,1,1,60
1,6,1,1,60
1,8,1,1,60
1,6,1,1,60
1,9,1,1,60
1,7,1,1,60
1,4,1,1,60
1,10,1,1,60
1,1,1,1,60
1,2,1,1,60
1,8,1,1,60
1,6,1,1,60
1,8,1,1,60
1,4,1,1,60
1,6,1,1,60
1,5,1,1,60
1,1,1,1,60
1,7,1,1,60
1,9,1,1,60
1,2,1,1,60
1,3,1,1,60
1,1,1,1,60
1,8,1,1,60
1,2,1,1,60
1,1,1,1,60
1,10,1,1,60
1,2,1,1,60
1,6,1,1,60
1,4,1,1,60
1,7,1,1,60
1,5,1,1,60
1,6,1,1,60
1,5,1,1,60
1,2,1,1,60
1,8,1,1,60
1,7,1,1,60
1,5,1,1,60
1,2,1,1,60
1,7,1,1,60
1,9,1,1,60
1,8,1,1,60
1,6,1,1,60
1,4,1,1,60
1,7,1,1,60
1,9,1,1,60
1,8,1,1,60
1,4,1,1,60
1,9,1,1,60
1,1,1,1,60
1,2,1,1,60
1,6,1,1,60
1,10,1,1,60
1,2,1,1,60
1,3,1,1,60
1,9,1,1,60
1,2,1,1,60
1,3,1,1,60
1,9,1,1,60
1,4,1,1,60
1,6,1,1,60
1,5,1,1,60
1,2,1,1,60
1,6,1,1,60
1,5,1,1,60
1,2,1,1,60
1,6,1,1,60
1,8,1,1,60
1,4,1,1,60
1,6,1,1,60
1,10,1,1,60
1,6,1,1,60
1,3,1,1,60
1,6,1,1,60
1,5,1,1,60
1,1,1,1,60
1,5,1,1,60
1,7,1,1,60
1,4,1,1,60
1,3,1,1,60
1,8,1,1,60
1,9,1,1,60
1,1,1,1,60
1,2,1,1,60
1,7,1,1,60
1,4,1,1,60
1,10,1,1,60
1,3,1,1,60
1,6,1,1,60
1,3,1,1,60
1,8,1,1,60
1,9,1,1,60
1,4,1,1,60
1,6,1,1,60
1,4,1,1,60
1,10,1,1,60
1,2,1,1,60
1,3,1,1,60
1,10,1,1,60
1,7,1,1,60
1,9,1,1,60
1,8,1,1,60
1,9,1,1,60
1,7,1,1,60
1,6,1,1,60
1,5,1,1,60
1,10,1,1,60
1,7,1,1,60
1,6,1,1,60
1,3,1,1,60
1,4,1,1,60
1,10,1,1,60
1,8,1,1,60
1,4,1,1,60
1,9,1,1,60
1,3,1,1,60
1,4,1,1,60
1,9,1,1,60
1,7,1,1,60
1,4,1,1,60
1,9,1,1,60
1,3,1,1,60
1,6,1,1,60
1,5,1,1,60
1,1,1,1,60
1,4,1,1,60
1,9,1,1,60
1,10,1,1,60
1,9,1,1,60
1,4,1,1,60
1,10,1,1,60
1,8,1,1,60
1,9,1,1,60
1,10,1,1,60
1,9,1,1,60
1,7,1,1,60
1,3,1,1,60
1,2,1,1,60
1,7,1,1,60
1,10,1,1,60
1,3,1,1,60
1,4,1,1,60
1,3,1,1,60
1,4,1,1,60
1,9,1,1,60
1,6,1,1,60
1,5,1,1,60
1,6,1,0,60
1,1,0,1,60
1,3,1,1,60
1,4,1,1,60
1,9,1,1,60
1,7,1,1,60
1,6,1,0,60
