VehicleId,Location,unload,load,emptyRuns
1,1,0,1,67
1,6,1,1,67
1,7,1,1,67
1,8,1,1,67
1,5,1,1,67
1,2,1,1,67
1,6,1,1,67
1,9,1,1,67
1,8,1,1,67
1,4,1,1,67
1,3,1,1,67
1,8,1,1,67
1,9,1,1,67
1,7,1,1,67
1,10,1,1,67
1,2,1,1,67
1,8,1,1,67
1,4,1,1,67
1,9,1,1,67
1,8,1,1,67
1,3,1,1,67
1,8,1,1,67
1,1,1,1,67
1,2,1,1,67
1,9,1,1,67
1,10,1,1,67
1,2,1,1,67
1,1,1,1,67
1,2,1,1,67
1,7,1,1,67
1,4,1,1,67
1,10,1,1,67
1,3,1,1,67
1,5,1,1,67
1,1,1,1,67
1,8,1,1,67
1,3,1,1,67
1,2,1,1,67
1,3,1,1,67
1,6,1,0,67
1,8,0,1,67
1,9,1,0,67
1,1,0,1,67
1,7,1,0,67
1,2,0,1,67
1,10,1,1,67
1,4,1,0,67
1,2,0,1,67
1,7,1,0,67
1,10,0,1,67
1,4,1,0,67
2,2,0,1,67
2,5,1,1,67
2,7,1,1,67
2,9,1,1,67
2,8,1,1,67
2,5,1,1,67
2,2,1,1,67
2,5,1,1,67
2,4,1,1,67
2,5,1,1,67
2,4,1,1,67
2,9,1,1,67
2,7,1,1,67
2,1,1,1,67
2,8,1,1,67
2,6,1,1,67
2,5,1,1,67
2,4,1,1,67
2,3,1,1,67
2,7,1,1,67
2,5,1,1,67
2,6,1,0,67
2,2,0,1,67
2,6,1,0,67
2,7,0,1,67
2,5,1,1,67
2,9,1,1,67
2,2,1,1,67
2,7,1,1,67
2,4,1,1,67
2,10,1,1,67
2,8,1,1,67
2,6,1,0,67
2,3,0,1,67
2,5,1,1,67
2,10,1,1,67
2,6,1,0,67
2,1,0,1,67
2,5,1,0,67
2,7,0,1,67
2,9,1,0,67
2,8,0,1,67
2,6,1,0,67
2,4,0,1,67
2,10,1,1,67
2,9,1,0,67
2,3,0,0,67
2,2,0,1,67
2,10,1,1,67
2,4,1,0,67
2,10,0,1,67
2,4,1,0,67
3,3,0,1,67
3,2,1,1,67
3,6,1,1,67
3,1,1,1,67
3,2,1,1,67
3,4,1,1,67
3,7,1,1,67
3,2,1,1,67
3,8,1,1,67
3,5,1,1,67
3,7,1,1,67
3,4,1,1,67
3,6,1,1,67
3,8,1,1,67
3,6,1,1,67
3,4,1,1,67
3,1,1,1,67
3,8,1,1,67
3,5,1,1,67
3,2,1,1,67
3,8,1,1,67
3,5,1,1,67
3,2,1,1,67
3,3,1,1,67
3,2,1,1,67
3,6,1,0,67
3,3,0,1,67
3,5,1,1,67
3,2,1,1,67
3,3,1,1,67
3,10,1,1,67
3,8,1,1,67
3,9,1,1,67
3,4,1,1,67
3,9,1,1,67
3,2,1,1,67
3,10,1,1,67
3,6,1,0,67
3,8,0,1,67
3,10,1,1,67
3,8,1,1,67
3,6,1,0,67
3,4,0,1,67
3,9,1,0,67
3,2,0,1,67
3,10,1,1,67
3,5,1,0,67
3,2,0,1,67
3,10,1,1,67
3,9,1,0,67
3,10,0,1,67
3,9,1,0,67
4,4,0,1,67
4,7,1,1,67
4,2,1,1,67
4,6,1,1,67
4,10,1,1,67
4,7,1,1,67
4,9,1,1,67
4,7,1,1,67
4,1,1,1,67
4,10,1,1,67
4,2,1,1,67
4,4,1,1,67
4,3,1,1,67
4,6,1,1,67
4,3,1,1,67
4,2,1,1,67
4,5,1,1,67
4,1,1,1,67
4,9,1,1,67
4,6,1,1,67
4,5,1,1,67
4,7,1,1,67
4,10,1,1,67
4,6,1,0,67
4,2,0,1,67
4,1,1,1,67
4,5,1,1,67
4,6,1,0,67
4,7,0,1,67
4,9,1,1,67
4,2,1,1,67
4,3,1,1,67
4,6,1,0,67
4,7,0,1,67
4,3,1,1,67
4,4,1,1,67
4,10,1,1,67
4,6,1,0,67
4,1,0,1,67
4,7,1,0,67
4,2,0,1,67
4,3,1,1,67
4,6,1,0,67
4,2,0,1,67
4,3,1,1,67
4,4,1,0,67
4,10,0,1,67
4,6,1,0,67
4,10,0,1,67
4,5,1,0,67
4,10,0,1,67
4,4,1,0,67
5,5,0,1,67
5,9,1,1,67
5,8,1,1,67
5,7,1,1,67
5,6,1,1,67
5,8,1,1,67
5,2,1,1,67
5,8,1,1,67
5,6,1,1,67
5,5,1,1,67
5,8,1,1,67
5,9,1,1,67
5,5,1,1,67
5,2,1,1,67
5,4,1,1,67
5,3,1,1,67
5,6,1,1,67
5,5,1,1,67
5,6,1,1,67
5,5,1,1,67
5,6,1,1,67
5,5,1,1,67
5,7,1,1,67
5,5,1,1,67
5,9,1,1,67
5,5,1,1,67
5,6,1,0,67
5,3,0,1,67
5,8,1,1,67
5,9,1,1,67
5,2,1,1,67
5,1,1,1,67
5,7,1,1,67
5,9,1,1,67
5,4,1,1,67
5,9,1,1,67
5,3,1,1,67
5,5,1,0,67
5,2,0,1,67
5,3,1,1,67
5,5,1,0,67
5,1,0,1,67
5,5,1,0,67
5,2,0,1,67
5,10,1,1,67
5,3,1,1,67
5,4,1,0,67
5,2,0,1,67
5,7,1,0,67
5,10,0,1,67
5,5,1,0,67
6,6,0,1,67
6,7,1,1,67
6,1,1,1,67
6,2,1,1,67
6,6,1,1,67
6,8,1,1,67
6,4,1,1,67
6,7,1,1,67
6,2,1,1,67
6,6,1,1,67
6,1,1,1,67
6,7,1,1,67
6,1,1,1,67
6,7,1,1,67
6,9,1,1,67
6,5,1,1,67
6,6,1,1,67
6,3,1,1,67
6,8,1,1,67
6,1,1,1,67
6,2,1,1,67
6,6,1,0,67
6,1,0,1,67
6,8,1,1,67
6,3,1,1,67
6,9,1,1,67
6,10,1,1,67
6,3,1,1,67
6,2,1,1,67
6,7,1,1,67
6,9,1,1,67
6,4,1,1,67
6,3,1,1,67
6,2,1,1,67
6,10,1,1,67
6,9,1,0,67
6,7,0,1,67
6,3,1,1,67
6,2,1,1,67
6,3,1,1,67
6,4,1,1,67
6,9,1,0,67
6,3,0,1,67
6,6,1,0,67
6,10,0,1,67
6,3,1,1,67
6,4,1,0,67
6,1,0,1,67
6,5,1,0,67
6,10,0,1,67
6,5,1,0,67
7,7,0,1,67
7,2,1,1,67
7,8,1,1,67
7,4,1,1,67
7,2,1,1,67
7,4,1,1,67
7,8,1,1,67
7,2,1,1,67
7,8,1,1,67
7,1,1,1,67
7,2,1,1,67
7,4,1,1,67
7,1,1,1,67
7,9,1,1,67
7,7,1,1,67
7,5,1,1,67
7,6,1,1,67
7,3,1,1,67
7,8,1,1,67
7,5,1,1,67
7,6,1,1,67
7,5,1,1,67
7,7,1,1,67
7,3,1,1,67
7,6,1,0,67
7,3,0,1,67
7,9,1,1,67
7,1,1,1,67
7,7,1,1,67
7,4,1,1,67
7,10,1,1,67
7,9,1,1,67
7,1,1,1,67
7,8,1,1,67
7,9,1,1,67
7,4,1,1,67
7,10,1,1,67
7,6,1,0,67
7,8,0,1,67
7,10,1,1,67
7,9,1,0,67
7,1,0,1,67
7,3,1,1,67
7,4,1,1,67
7,10,1,1,67
7,9,1,0,67
7,10,0,1,67
7,4,1,0,67
7,10,0,1,67
7,9,1,0,67
8,8,0,1,67
8,5,1,1,67
8,2,1,1,67
8,7,1,1,67
8,8,1,1,67
8,6,1,1,67
8,3,1,1,67
8,8,1,1,67
8,2,1,1,67
8,4,1,1,67
8,6,1,1,67
8,8,1,1,67
8,9,1,1,67
8,4,1,1,67
8,5,1,1,67
8,8,1,1,67
8,4,1,1,67
8,9,1,1,67
8,2,1,1,67
8,6,1,1,67
8,5,1,1,67
8,7,1,1,67
8,6,1,0,67
8,7,0,1,67
8,9,1,1,67
8,1,1,1,67
8,5,1,1,67
8,1,1,1,67
8,10,1,1,67
8,2,1,1,67
8,1,1,1,67
8,5,1,1,67
8,1,1,1,67
8,7,1,1,67
8,3,1,1,67
8,5,1,1,67
8,1,1,1,67
8,2,1,1,67
8,10,1,1,67
8,6,1,0,67
8,3,0,1,67
8,6,1,0,67
8,3,0,1,67
8,4,1,1,67
8,10,1,1,67
8,9,1,0,67
8,1,0,1,67
8,10,1,1,67
8,4,1,0,67
8,10,0,1,67
8,4,1,0,67
9,9,0,1,67
9,1,1,1,67
9,10,1,1,67
9,7,1,1,67
9,6,1,1,67
9,2,1,1,67
9,8,1,1,67
9,7,1,1,67
9,6,1,1,67
9,4,1,1,67
9,1,1,1,67
9,10,1,1,67
9,2,1,1,67
9,6,1,1,67
9,4,1,1,67
9,9,1,1,67
9,7,1,1,67
9,5,1,1,67
9,9,1,1,67
9,2,1,1,67
9,7,1,1,67
9,6,1,0,67
9,7,0,1,67
9,5,1,1,67
9,3,1,1,67
9,10,1,1,67
9,3,1,1,67
9,5,1,1,67
9,1,1,1,67
9,8,1,1,67
9,9,1,1,67
9,2,1,1,67
9,3,1,1,67
9,6,1,0,67
9,1,0,1,67
9,5,1,1,67
9,1,1,1,67
9,7,1,1,67
9,9,1,0,67
9,1,0,1,67
9,8,1,1,67
9,6,1,0,67
9,3,0,1,67
9,4,1,1,67
9,10,1,1,67
9,4,1,0,67
9,1,0,1,67
9,5,1,0,67
9,10,0,1,67
9,5,1,0,67
10,10,0,1,67
10,6,1,1,67
10,10,1,1,67
10,3,1,1,67
10,6,1,1,67
10,10,1,1,67
10,1,1,1,67
10,8,1,1,67
10,4,1,1,67
10,6,1,1,67
10,1,1,1,67
10,10,1,1,67
10,3,1,1,67
10,10,1,1,67
10,7,1,1,67
10,4,1,1,67
10,6,1,1,67
10,5,1,1,67
10,6,1,1,67
10,3,1,1,67
10,2,1,1,67
10,9,1,1,67
10,6,1,0,67
10,3,0,1,67
10,1,1,1,67
10,8,1,1,67
10,10,1,1,67
10,2,1,1,67
10,1,1,1,67
10,5,1,1,67
10,2,1,1,67
10,10,1,1,67
10,7,1,1,67
10,4,1,1,67
10,9,1,1,67
10,3,1,1,67
10,5,1,1,67
10,1,1,1,67
10,4,1,1,67
10,10,1,1,67
10,7,1,0,67
10,1,0,1,67
10,10,1,1,67
10,9,1,0,67
10,3,0,1,67
10,4,1,0,67
10,2,0,1,67
10,7,1,0,67
10,10,0,1,67
10,4,1,0,67
